respondent_ID,year,age,race,sex,educ,degree,padeg,madeg,vetyears,dwelling,dwelown,relig,famgen,zodiac,wrkslf,wrkgovt,marital,sibs,childs,agekdbrn,res16,reg16,parborn,partyid,vote12,pres12,wordsum,voted_16,party_id3
639,2018,42,black,female,13,high school,NA,high school,none,detached 1-fam house,pays rent,protestant,1 gen,cancer,someone else,private,never married,7,1,21,50000 to 250000,south atlantic,both in u.s,strong democrat,voted,obama,6,voted,democrat
999,2018,23,white,female,13,high school,bachelor,bachelor,none,apartment house,NA,none,1 gen,cancer,someone else,private,never married,4,0,NA,big-city suburb,pacific,both in u.s,"ind,near dem",ineligible,NA,NA,did not vote,independent
220,2018,33,white,female,12,high school,lt high school,lt high school,none,detached 1-fam house,NA,protestant,"2 gens, children",virgo,someone else,private,married,3,1,32,50000 to 250000,pacific,neither in u.s,independent,did not vote,NA,NA,did not vote,independent
349,2018,53,black,female,12,high school,NA,junior college,more than 4 yrs,apartment-4 stories,pays rent,protestant,1 gen,taurus,someone else,private,never married,3,0,NA,50000 to 250000,south atlantic,both in u.s,not str democrat,did not vote,NA,6,did not vote,democrat
1827,2018,45,white,female,16,graduate,high school,graduate,none,detached 1-fam house,own or is buying,protestant,1 gen,virgo,someone else,private,married,2,2,21,"country,nonfarm",w. nor. central,both in u.s,"ind,near rep",voted,obama,7,voted,independent
720,2018,46,white,male,18,graduate,bachelor,bachelor,none,detached 1-fam house,own or is buying,protestant,1 gen,sagittarius,someone else,government,married,2,2,32,town lt 50000,e. nor. central,both in u.s,not str democrat,voted,obama,6,voted,democrat
1457,2018,65,white,male,11,high school,NA,NA,none,trailer,other,protestant,1 gen,cancer,someone else,private,married,6,3,23,city gt 250000,w. sou. central,both in u.s,"ind,near rep",voted,romney,6,voted,independent
1203,2018,73,white,female,16,bachelor,high school,bachelor,none,detached 1-fam house,NA,protestant,1 gen,libra,someone else,government,married,3,4,24,town lt 50000,mountain,both in u.s,independent,voted,romney,NA,voted,independent
173,2018,60,white,female,13,high school,lt high school,junior college,less than 2 yrs,apartment house,NA,protestant,1 gen,leo,someone else,private,divorced,1,0,NA,50000 to 250000,pacific,father only,strong republican,voted,romney,NA,voted,republican
274,2018,65,white,female,19,graduate,bachelor,high school,none,detached 1-fam house,own or is buying,protestant,1 gen,taurus,someone else,government,divorced,3,3,31,town lt 50000,e. nor. central,both in u.s,strong democrat,voted,obama,10,voted,democrat
674,2018,21,white,female,15,high school,high school,high school,none,detached 1-fam house,pays rent,none,1 gen,capricorn,someone else,private,never married,1,0,NA,town lt 50000,south atlantic,both in u.s,not str democrat,ineligible,NA,5,did not vote,democrat
1393,2018,68,white,male,11,lt high school,lt high school,high school,none,detached 1-fam house,NA,protestant,1 gen,sagittarius,someone else,private,married,4,2,22,farm,south atlantic,both in u.s,independent,voted,obama,NA,voted,independent
1626,2018,32,white,female,15,high school,high school,bachelor,none,trailer,pays rent,protestant,"2 gens, children",scorpio,someone else,private,never married,8,4,20,farm,e. nor. central,both in u.s,"ind,near dem",voted,romney,5,voted,independent
1872,2018,84,white,male,16,bachelor,high school,bachelor,none,detached 1-fam house,NA,protestant,1 gen,sagittarius,someone else,private,married,2,3,25,town lt 50000,w. nor. central,both in u.s,"ind,near rep",voted,romney,NA,voted,independent
1770,2018,20,white,male,13,high school,high school,high school,none,detached 1-fam house,own or is buying,none,1 gen,scorpio,someone else,private,never married,5,0,NA,50000 to 250000,e. nor. central,both in u.s,not str democrat,ineligible,NA,6,did not vote,democrat
1662,2018,77,white,female,12,high school,lt high school,lt high school,none,detached 1-fam house,pays rent,protestant,1 gen,virgo,someone else,private,divorced,2,2,20,"country,nonfarm",south atlantic,both in u.s,"ind,near dem",voted,romney,10,voted,independent
1842,2018,72,white,female,16,bachelor,lt high school,junior college,none,detached 1-fam house,own or is buying,protestant,1 gen,virgo,someone else,private,divorced,1,3,32,city gt 250000,south atlantic,both in u.s,strong democrat,voted,obama,9,voted,democrat
1982,2018,56,white,male,13,high school,lt high school,NA,more than 4 yrs,apartment house,pays rent,protestant,1 gen,taurus,someone else,private,separated,11,4,17,city gt 250000,pacific,mother only,strong democrat,voted,obama,2,voted,democrat
1185,2018,49,white,female,16,bachelor,high school,bachelor,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",virgo,someone else,private,married,1,2,29,50000 to 250000,e. nor. central,both in u.s,not str republican,voted,romney,7,did not vote,republican
1961,2018,69,other,female,14,high school,lt high school,high school,none,trailer,NA,protestant,1 gen,pisces,someone else,NA,divorced,4,4,21,50000 to 250000,mountain,both in u.s,not str republican,voted,romney,NA,voted,republican
682,2018,71,black,female,15,bachelor,high school,bachelor,none,detached 1-fam house,own or is buying,protestant,1 gen,taurus,someone else,government,married,1,0,NA,50000 to 250000,e. sou. central,both in u.s,strong democrat,voted,obama,6,voted,democrat
1328,2018,36,white,female,12,high school,high school,high school,none,detached 1-fam house,NA,catholic,"2 gens, children",gemini,someone else,government,married,0,2,24,city gt 250000,south atlantic,both in u.s,not str democrat,did not vote,NA,NA,voted,democrat
286,2018,67,white,female,12,high school,high school,high school,none,apartment house,own or is buying,catholic,"2 gens, grandchldrn",capricorn,someone else,private,married,4,2,21,big-city suburb,e. nor. central,both in u.s,not str democrat,voted,obama,5,voted,democrat
1761,2018,47,white,female,16,bachelor,high school,bachelor,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",aquarius,someone else,government,married,2,3,24,town lt 50000,e. nor. central,both in u.s,not str democrat,voted,obama,8,voted,democrat
281,2018,52,white,female,12,high school,junior college,high school,none,2 units side by side,own or is buying,protestant,1 gen,pisces,someone else,private,divorced,1,1,28,50000 to 250000,e. nor. central,both in u.s,not str republican,voted,romney,6,voted,republican
811,2018,32,white,male,16,bachelor,graduate,bachelor,none,apartment house,NA,none,1 gen,capricorn,someone else,government,never married,2,0,NA,big-city suburb,mountain,neither in u.s,"ind,near dem",voted,obama,NA,voted,independent
